name,activations,TP,FP,TN,FN,precision,recall,f1,specificity
married_professional,2461,1662,799,11636,2184,0.675335229581471,0.43213728549141966,0.5270334548913906,0.9357458785685565
married_high_edu,2242,1587,655,11780,2259,0.707850133809099,0.4126365054602184,0.521353482260184,0.9473260956976277
professional_husband,2112,1446,666,11769,2400,0.6846590909090909,0.37597503900156004,0.48539778449144005,0.9464414957780458
capital_gain_high,803,712,91,12344,3134,0.8866749688667497,0.18512740509620385,0.3063024306302431,0.9926819461198231
us_capital_gain_high,737,649,88,12347,3197,0.8805970149253731,0.1687467498699948,0.2832205978616627,0.9929232006433454
