Metric,Value
Accuracy,0.839014802530557
Class 0 Precision,0.8861347182876927
Class 0 Recall,0.905589063128267
Class 0 F1,0.8957562741120789
Class 1 Precision,0.6714245731877974
Class 1 Recall,0.623764950598024
Class 1 F1,0.6467178865076156
Specificity (TNR),0.905589063128267
